"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ASTRO_AVG","GBM_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg08915171",-0.370025353456576,0.673476751736573,-17.76766329489,1.59790565404055e-53,2.81147932473774e-53,110.071024454851,0.831813182052877,0.461787828596298,-0.370025353456579,"2",105273376,"F","I","","IGR","shelf","IGR-shelf","chr2:105275588-105275940",NA,NA,"","","","DOWN"
"cg09489445",-0.429029362513427,0.283511189556528,-17.7596120516722,1.73657722179448e-53,3.05462445060262e-53,109.987897751826,0.467095847004134,0.0380664844907072,-0.429029362513427,"19",12203066,"R","I","ZNF788","TSS200","island","TSS200-island","chr19:12203028-12203503",TRUE,NA,"","","","DOWN"
"cg04387835",-0.436521539135806,0.533887052690011,-17.7595980479323,1.73682860191076e-53,3.05462445060262e-53,109.987753172607,0.720677664785333,0.284156125649526,-0.436521539135807,"17",4649076,"F","I","ZMYND15","Body","opensea","Body-opensea","",NA,NA,"","","","DOWN"
"cg09578475",0.427707235258855,0.327912979843148,17.7503740845654,1.91056270649737e-53,3.35946976427678e-53,109.892525910297,0.144894069871918,0.57260130513077,0.427707235258852,"19",9473688,"F","I","ZNF177","TSS200","island","TSS200-island","chr19:9473589-9474001",NA,NA,"","","","UP"
"cg17025149",-0.417972830797469,0.506627588420975,-17.8024694272035,2.26307678655731e-53,3.97764432461598e-53,109.747188097966,NA,NA,NA,"12",128596903,"R","I","","IGR","opensea","IGR-opensea","",NA,TRUE,"","","","DOWN"
"cg26831001",-0.261518505507645,0.165647642224959,-17.7348529182222,2.24297723802603e-53,3.94314643233785e-53,109.732304916985,0.277553235279394,0.0160347297717479,-0.261518505507646,"8",102092959,"F","I","","IGR","island","IGR-island","chr8:102092794-102093240",TRUE,TRUE,"","","","NO"
"cg15097584",-0.386473972104447,0.28983176609178,-17.7163128296009,2.71660077094719e-53,4.77376584781086e-53,109.540950054156,0.455206675085311,0.0687327029808636,-0.386473972104447,"17",20811860,"R","I","","IGR","island","IGR-island","chr17:20811748-20812158",NA,TRUE,"","","","DOWN"
"cg01431993",-0.417291675275838,0.605123827797999,-17.8076560439285,2.98703925542256e-53,5.24789189059938e-53,109.480937831636,NA,NA,NA,"2",182542864,"R","I","NEUROD1","Body","opensea","Body-opensea","",TRUE,NA,"","","","DOWN"
"cg23697546",0.382232608335429,0.29646679524131,17.6923213833392,3.48072874078102e-53,6.11396297318854e-53,109.293379289456,0.132906795395454,0.51513940373088,0.382232608335426,"12",54424085,"F","I","HOXC4","5'UTR","shore","5'UTR-shore","chr12:54424610-54425173",NA,NA,"","rs7308105","","UP"
"cg25806307",-0.259826431796326,0.168523488990228,-17.69051391824,3.54632838876917e-53,6.22788046242961e-53,109.274730049851,0.279705031898423,0.0198786001020973,-0.259826431796326,"19",39466182,"F","I","FBXO17","5'UTR","island","5'UTR-island","chr19:39465846-39466403",TRUE,NA,"","","","NO"
"cg25575065",-0.305885214458114,0.251697001381174,-17.6836797500917,3.80572726940119e-53,6.68201883324454e-53,109.204218628268,0.382587418730693,0.0767022042725786,-0.305885214458114,"22",51066394,"F","II","ARSA","5'UTR","island","5'UTR-island","chr22:51066107-51067051",NA,NA,"","","","DOWN"
"cg23244289",-0.323601812647952,0.215809816299181,-17.6852480549144,3.98463863213242e-53,6.99467769128688e-53,109.160041951133,NA,0.0310022542974368,NA,"5",79331135,"F","I","THBS4","5'UTR","island","5'UTR-island","chr5:79330928-79331488",NA,NA,"high-CpG:79366879-79367034","","","DOWN"
"cg22684008",-0.356788753210329,0.248515877979994,-17.6848193862879,4.00230431865923e-53,7.02421224329395e-53,109.155623478918,NA,0.0447554012048646,NA,"4",122871528,"F","I","TRPC3","Body","island","Body-island","chr4:122871412-122873182",TRUE,NA,"","","","DOWN"
"cg11452571",-0.361059416781561,0.274752962632541,-17.6835641493665,4.05448470878007e-53,7.11429642032108e-53,109.143334449366,0.428771315245655,NA,NA,"19",43979464,"R","I","PHLDB3","3'UTR","island","3'UTR-island","chr19:43979359-43979684",NA,TRUE,"","","","DOWN"
"cg15304692",-0.299472510989445,0.185812885664896,-17.6767864890147,4.08657592629215e-53,7.16910022852679e-53,109.133102051342,0.313959262460379,0.0144867514709345,-0.299472510989445,"7",150065217,"F","I","REPIN1","TSS1500","island","TSS1500-island","chr7:150065169-150066351",NA,NA,"low-CpG:149696075-149696266","","","NO"
"cg02654987",-0.384478666458698,0.346969271380547,-17.8500134453477,4.41477085305603e-53,7.74322815587446e-53,109.112677047945,NA,NA,NA,"4",120134582,"F","II","USP53","5'UTR","shore","5'UTR-shore","chr4:120133564-120134289",NA,NA,"","","","DOWN"
"cg10265570",-0.318063557914844,0.197560197180337,-17.6726673716472,4.53700024477364e-53,7.95594039564211e-53,109.030374706285,NA,0.0159155079282698,NA,"19",12946297,"F","I","RTBDN","TSS200","shore","TSS200-shore","chr19:12944528-12945299",NA,NA,"","rs10421122","","DOWN"
"cg11072298",-0.256698465839266,0.193507456109501,-17.6573340295094,5.31466675274275e-53,9.31767598161867e-53,108.873005912826,0.303008200278699,NA,NA,"12",113772666,"F","I","SLC24A6","5'UTR","island","5'UTR-island","chr12:113772633-113772934",NA,NA,"","","","NO"
"cg18852618",-0.42126467687632,0.411845520123435,-17.7303616548667,6.14064900835619e-53,1.07635295459101e-52,108.759300149367,NA,NA,NA,"3",113897736,"R","II","DRD3","1stExon","opensea","1stExon-opensea","",NA,NA,"","","","DOWN"
"cg11306441",-0.345088026319728,0.220976328798939,-17.6443218935961,6.46655769591413e-53,1.13324151440459e-52,108.678771283874,NA,NA,NA,"12",54520919,"F","I","LOC400043","Body","shore","Body-shore","chr12:54519768-54520457",TRUE,NA,"","","","DOWN"
"cg11458217",-0.385283197414574,0.428970869183881,-17.6282357219081,6.74675540105619e-53,1.18209720260955e-52,108.63234225532,0.593836237379885,0.20855303996531,-0.385283197414575,"X",134125022,"F","I","LOC644538","1stExon","island","1stExon-island","chrX:134124938-134125307",TRUE,TRUE,"","","","DOWN"
"cg11665991",-0.320004677825595,0.289475069911418,-17.6246993129519,6.9976291902825e-53,1.22579564385867e-52,108.59587617475,0.426407304143766,0.106402626318171,-0.320004677825596,"1",50893469,"F","I","","IGR","island","IGR-island","chr1:50893468-50893745",NA,NA,"","","","DOWN"
"cg11938120",-0.258391917781202,0.181689897680015,-17.6145766417178,7.76845090037156e-53,1.36053750150323e-52,108.491501888404,0.292257602032902,0.0338656842516992,-0.258391917781202,"5",56110761,"R","II","MAP3K1","TSS200","island","TSS200-island","chr5:56110725-56112909",NA,NA,"","","","NO"
"cg25691526",-0.388597598244025,0.343910096808922,-17.6125629774651,8.43405587493262e-53,1.47679947137261e-52,108.411746935773,0.50967550585008,NA,NA,"X",130964707,"F","II","LOC286467","TSS200","opensea","TSS200-opensea","",NA,NA,"","","","DOWN"
"cg04599026",0.370338891093591,0.216862225798819,17.6016966445279,8.87306937514859e-53,1.55334496144156e-52,108.358711551882,0.0583916305401672,0.428730521633756,0.370338891093589,"7",96634763,"R","I","DLX6AS","Body","island","Body-island","chr7:96634622-96634915",TRUE,NA,"","","rs77189076","UP"
"cg08253651",-0.41102459314359,0.315739097116536,-17.7260709127884,9.547024904433e-53,1.67097938511698e-52,108.325429628897,NA,NA,NA,"12",96252105,"R","I","SNRPF","TSS1500","island","TSS1500-island","chr12:96252020-96252246",NA,NA,"","","","DOWN"
"cg11833889",-0.51140226373665,0.479041380366538,-18.8397834419449,1.41099939951418e-52,2.4665178873282e-52,108.305608491325,NA,NA,NA,"1",45987898,"F","II","PRDX1","TSS1500","shore","TSS1500-shore","chr1:45987163-45987803",NA,NA,"","rs3790584","","DOWN"
"cg00836482",-0.327680494454917,0.235600954220171,-17.587099163158,1.0315832624845e-52,1.80516266753152e-52,108.208234110633,0.375817723940415,0.0481372294854978,-0.327680494454917,"3",119528956,"R","I","NR1I2","Body","island","Body-island","chr3:119528920-119529159",NA,NA,"","","","DOWN"
"cg19734163",-0.376792692834908,0.54791721882707,-17.5721110825274,1.20413794634957e-52,2.10667401126791e-52,108.053752237271,0.709149440877357,0.332356748042448,-0.376792692834909,"7",138720989,"R","I","ZC3HAV1L","TSS1500","island","TSS1500-island","chr7:138720044-138721019",NA,NA,"","","","DOWN"
"cg07291958",-0.241833495960979,0.164461495354186,-17.5701015396674,1.22936736314323e-52,2.1503632645935e-52,108.033041620256,0.267943735486326,0.0261102395253471,-0.241833495960979,"2",26785531,"F","I","C2orf70","1stExon","island","1stExon-island","chr2:26785114-26785687",TRUE,NA,"","rs75378185","","NO"
"cg17321639",-0.479671011615492,0.587953873503316,-17.8379015273522,1.35594977740284e-52,2.37127997496825e-52,108.02879321736,NA,NA,NA,"7",2759063,"F","I","","IGR","shore","IGR-shore","chr7:2758004-2758257",TRUE,NA,"","","","DOWN"
"cg16027343",-0.443896846209109,0.351683939226411,-17.9652003636169,1.53883219908593e-52,2.68716642791886e-52,107.932723451582,NA,NA,NA,"5",180632948,"F","I","TRIM7","TSS1500","shore","TSS1500-shore","chr5:180630981-180632569",TRUE,NA,"","","","DOWN"
"cg25835669",-0.361143288482414,0.226917060342863,-17.570276614408,1.38666496281664e-52,2.4244870446568e-52,107.91750202737,0.380487337220899,NA,NA,"22",18593441,"R","I","TUBA8","TSS200","island","TSS200-island","chr22:18593113-18594197",TRUE,TRUE,"high-CpG:16973399-16973611","","","DOWN"
"cg20638675",-0.394259342894348,0.294721070797484,-17.565686138837,1.45379500002524e-52,2.54079569669682e-52,107.870283253993,0.462373408196482,NA,NA,"10",45374906,"R","I","","IGR","opensea","IGR-opensea","",TRUE,TRUE,"","","","DOWN"
"cg26541003",-0.360534527797224,0.236736107612487,-17.5520198721251,1.48150824432494e-52,2.58868853233435e-52,107.8467077481,0.39101134741409,0.0304768196168657,-0.360534527797225,"11",9594436,"R","I","WEE1","TSS1500","island","TSS1500-island","chr11:9594346-9596536",NA,NA,"","","","DOWN"
"cg07017374",0.352586498554269,0.231472146076061,17.5499875579573,1.51289865113412e-52,2.64298522199381e-52,107.825766547824,0.0805979234388865,0.433184421993153,0.352586498554266,"13",28674451,"R","I","FLT3","Body","island","Body-island","chr13:28674227-28675170",TRUE,TRUE,"","","","UP"
"cg14230666",0.292823648208296,0.165268314878103,17.5553028564222,1.52203365643488e-52,2.65838786658101e-52,107.821454078866,NA,0.332498603481906,NA,"15",84322946,"R","I","ADAMTSL3","1stExon","island","1stExon-island","chr15:84322322-84323771",TRUE,NA,"","","","NO"
"cg15057442",-0.285226916518842,0.190927297744349,-17.5423879820225,1.63628184131515e-52,2.85673949892304e-52,107.747463329608,0.312977885277994,0.0277509687591509,-0.285226916518843,"1",3688916,"F","I","LOC388588","TSS1500","island","TSS1500-island","chr1:3688553-3689684",NA,NA,"","","","NO"
"cg14514403",-0.361190759263975,0.397800580516895,-17.5160348084412,2.14737979588475e-52,3.74826803485608e-52,107.475975302977,0.552356626341481,0.191165867077504,-0.361190759263976,"X",25034220,"R","I","ARX","TSS200","island","TSS200-island","chrX:25033664-25034712",TRUE,NA,"","","","DOWN"
"cg08404221",-0.416901545239396,0.587365353912491,-17.5379009224466,2.18727708798183e-52,3.81711150887825e-52,107.467070568325,0.763520936408012,NA,NA,"19",39523309,"F","I","FBXO27","TSS200","shore","TSS200-shore","chr19:39522264-39523227",NA,NA,"high-CpG:44214717-44215253","rs640669","rs35414793","DOWN"
"cg18776463",-0.324008761899776,0.245585229290708,-17.5016777959567,2.49005844365674e-52,4.34460071810953e-52,107.328100431146,0.384230839033869,0.060222077134092,-0.324008761899777,"12",14924032,"F","II","HIST4H4","1stExon","shore","1stExon-shore","chr12:14922877-14923974",TRUE,NA,"","","","DOWN"
"cg24385694",-0.365050283132621,0.25071916477288,-17.6127682935726,2.63414214158918e-52,4.59503517453246e-52,107.306282413561,NA,NA,NA,"6",4282346,"R","I","","IGR","shore","IGR-shore","chr6:4282004-4282310",NA,TRUE,"","","","DOWN"
"cg10400707",-0.408163617117935,0.402582821486466,-17.4988278121392,2.72371940011106e-52,4.75030310407678e-52,107.240865667599,0.576694574243067,NA,NA,"1",160369840,"F","I","VANGL2","TSS1500","shore","TSS1500-shore","chr1:160370112-160370658",TRUE,NA,"","","rs34049652","DOWN"
"cg07850967",-0.339370114296601,0.444527636168303,-17.4891974309657,2.8320315079338e-52,4.93817391302004e-52,107.199571897779,0.589746475774291,0.250376361477688,-0.339370114296603,"2",54785550,"F","I","SPTBN1","5'UTR","island","5'UTR-island","chr2:54785026-54785969",NA,TRUE,"high-CpG:54638335-54639182","rs7585151","","DOWN"
"cg13951572",-0.382088533054465,0.256395488014642,-17.4788587034207,3.15058367265572e-52,5.49248247106967e-52,107.093111084817,0.419893837042599,0.0378053039881334,-0.382088533054465,"8",22409000,"F","I","SORBS3","TSS1500","island","TSS1500-island","chr8:22408672-22409635",TRUE,NA,"","","","DOWN"
"cg25480336",-0.346188962861034,0.2431664682568,-17.4592052521188,3.85814886749153e-52,6.72459329001131e-52,106.890764439976,0.39130314073687,0.0451141778758366,-0.346188962861034,"20",50720908,"R","I","ZFP64","Body","shore","Body-shore","chr20:50721310-50721912",NA,NA,"","","","DOWN"
"cg04137003",-0.320031220055437,0.266674676366727,-17.4546846338309,4.04217657222115e-52,7.04387632130486e-52,106.844227053358,0.403618268204403,0.0835870481489651,-0.320031220055438,"8",142377434,"R","I","GPR20","TSS200","opensea","TSS200-opensea","",TRUE,TRUE,"","","rs74548148","DOWN"
"cg01301382",0.445562910778417,0.491088142775987,17.5715976692139,4.2655407740003e-52,7.43155946319051e-52,106.829467190739,NA,NA,NA,"18",15198067,"R","I","","IGR","island","IGR-island","chr18:15197650-15198309",NA,NA,"","","","UP"
"cg27573308",-0.369819070727413,0.690688087265026,-17.4408733324865,4.66052951533683e-52,8.11802826754043e-52,106.702060199094,0.848936247762338,0.479117177034923,-0.369819070727415,"13",110008403,"R","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","DOWN"
"cg10009056",-0.304667748276099,0.205450408083759,-17.44268263567,4.85611611324022e-52,8.45695101313505e-52,106.663344839512,0.335413573432304,NA,NA,"4",187475841,"R","I","MTNR1A","Body","shore","Body-shore","chr4:187476279-187476844",NA,NA,"","","","DOWN"
"cg07498239",-0.415518346467266,0.7003825199008,-17.7506173745987,5.77890751061523e-52,1.00556120274275e-51,106.620573822128,NA,NA,NA,"19",2303032,"F","I","LINGO3","5'UTR","shore","5'UTR-shore","chr19:2302466-2302999",TRUE,NA,"","","","DOWN"
"cg19908812",0.321334938398675,0.214612526829717,17.431235681746,5.14717380045504e-52,8.9619612190499e-52,106.602866729959,0.0771110648172619,0.398446003215935,0.321334938398673,"4",164253006,"R","I","NPY1R","5'UTR","island","5'UTR-island","chr4:164252954-164253471",NA,NA,"","","","UP"
"cg27031435",-0.403519550902494,0.272555885925461,-17.4358439302699,5.21036256960821e-52,9.07009145790935e-52,106.593022786445,0.444686603443308,NA,NA,"15",37403184,"F","I","","IGR","island","IGR-island","chr15:37403042-37403267",NA,NA,"","","","DOWN"
"cg14320530",-0.429700839591901,0.511866540071053,-17.5578570189139,5.58418968224799e-52,9.71881679281244e-52,106.570431986581,NA,NA,NA,"10",134693097,"F","I","","IGR","island","IGR-island","chr10:134692851-134693252",NA,NA,"","","","DOWN"
"cg04008888",-0.347090311589292,0.255948826524757,-17.4135178915146,6.17809488084369e-52,1.07479809734628e-51,106.420535673777,0.404471192414128,0.0573808808248358,-0.347090311589292,"11",68622739,"R","I","","IGR","island","IGR-island","chr11:68622722-68623252",TRUE,NA,"","","rs35262248","DOWN"
"cg06535115",-0.388131331606944,0.547547682720503,-17.4147900349014,6.47137203403357e-52,1.12558488387084e-51,106.376557353238,0.713114194804585,NA,NA,"6",26551010,"F","I","","IGR","island","IGR-island","chr6:26550782-26551114",NA,NA,"","","","DOWN"
"cg00158683",-0.270355454996129,0.197544429924179,-17.4076362323967,6.56404367709213e-52,1.14146588006719e-51,106.360015763929,0.313231415317872,0.0428759603217429,-0.270355454996129,"3",48632625,"R","I","COL7A1","TSS200","island","TSS200-island","chr3:48631882-48632901",NA,TRUE,"","","","NO"
"cg26487948",-0.390136352192772,0.25160950270909,-17.4036786314139,6.83720308552058e-52,1.18871997037334e-51,106.319295705429,0.418551569693904,0.028415217501132,-0.390136352192772,"5",172359575,"R","I","ERGIC1","Body","opensea","Body-opensea","",TRUE,TRUE,"","","","DOWN"
"cg05597008",-0.319517807250038,0.197219890799001,-17.3951127152374,7.46795226246284e-52,1.29811221807355e-51,106.231166044266,0.333943789715296,0.0144259824652589,-0.319517807250037,"22",24110129,"R","I","CHCHD10","5'UTR","island","5'UTR-island","chr22:24110029-24110995",NA,NA,"high-CpG:22440054-22440170","","","DOWN"
"cg03303162",-0.261914408736918,0.169029815608127,-17.3931611165095,7.61960278528553e-52,1.32419724710371e-51,106.211088288873,0.281104818416482,0.0191904096795642,-0.261914408736918,"19",12946300,"F","I","RTBDN","TSS200","shore","TSS200-shore","chr19:12944528-12945299",NA,NA,"","rs10421122","","NO"
"cg07365127",-0.365056584881298,0.308099433007797,-17.3893883553911,8.40498534211438e-52,1.46038368444308e-51,106.115452265702,0.463822871313805,NA,NA,"7",12151221,"R","II","","IGR","island","IGR-island","chr7:12151220-12151559",NA,TRUE,"","rs34467568","","DOWN"
"cg01892516",0.2739593963737,0.142600437661626,17.403665782764,8.68152047104679e-52,1.50780503149948e-51,106.09023046877,0.0268429462361197,NA,NA,"14",38064532,"F","I","FOXA1","TSS200","island","TSS200-island","chr14:38063663-38065665",NA,NA,"high-CpG:37133980-37134412","","rs7141052","NO"
"cg10598066",-0.313014661026307,0.198901138790907,-17.3812833013497,8.61124634992797e-52,1.49591083400495e-51,106.088899878055,0.332842296067281,0.0198276350409737,-0.313014661026307,"11",44087808,"F","I","ACCS","1stExon","island","1stExon-island","chr11:44087518-44088165",NA,NA,"","","","DOWN"
"cg03495059",-0.426320827988767,0.358620326772591,-17.3729285829222,9.95620055260536e-52,1.72883183156236e-51,105.945647483676,NA,0.115150390042409,NA,"16",30913719,"F","I","CTF1","Body","island","Body-island","chr16:30913355-30913942",NA,TRUE,"","","","DOWN"
"cg18396137",-0.3235084151585,0.231062249309464,-17.3668256273751,9.99382529235347e-52,1.73500449900916e-51,105.940192573558,0.369493757191241,0.0459853420327401,-0.3235084151585,"2",131512986,"F","I","FAM123C","TSS1500","shore","TSS1500-shore","chr2:131513363-131514183",TRUE,NA,"","","","DOWN"
"cg02245004",0.406992296150591,0.411777462479684,17.3630444423567,1.03906457274578e-51,1.80352076474512e-51,105.901304145444,0.237622619475712,0.6446149156263,0.406992296150588,"15",76634887,"R","I","","IGR","island","IGR-island","chr15:76632262-76635515",NA,NA,"","","","UP"
"cg07888347",-0.361121934117839,0.319146920065831,-17.3459264770136,1.23934427717242e-51,2.15070255328176e-51,105.725269987932,0.473673515130209,0.112551581012369,-0.361121934117839,"17",4488345,"F","I","SMTNL2","Body","island","Body-island","chr17:4487398-4488482",NA,NA,"","","","DOWN"
"cg05578840",-0.363750299330346,0.4133484300364,-17.3427197148481,1.3585063859217e-51,2.35700152606229e-51,105.635271270497,NA,0.20561224510415,NA,"5",76934327,"F","I","OTP","Body","shore","Body-shore","chr5:76934581-76935296",NA,TRUE,"","rs35976259","","DOWN"
"cg14578525",-0.415235884212759,0.356041990732293,-17.3326908417884,1.42027010313446e-51,2.46364959335243e-51,105.58918190737,0.533724322581474,0.118488438368715,-0.41523588421276,"9",116111733,"R","I","BSPRY","TSS200","island","TSS200-island","chr9:116111663-116112189",TRUE,NA,"","","","DOWN"
"cg21210962",-0.342590472348372,0.368440235423707,-17.3223708146116,1.57945820557989e-51,2.7392140023696e-51,105.483085192493,0.515037088707661,0.172446616359289,-0.342590472348373,"5",1009776,"R","I","NKD2","Body","island","Body-island","chr5:1008715-1010039",NA,NA,"","rs6863797","","DOWN"
"cg23965019",-0.307811679769727,0.218271161269742,-17.3157833921232,1.6902681893649e-51,2.9307805010283e-51,105.415368214702,0.349985926566555,0.0421742467968277,-0.307811679769728,"6",31795144,"F","II","HSPA1B","TSS1500","shore","TSS1500-shore","chr6:31795467-31797384",NA,NA,"","","","DOWN"
"cg07293445",-0.35770918236765,0.438453851293728,-17.3123927116278,1.75029824329398e-51,3.0342377099975e-51,105.380514761196,0.591520106074304,0.233810923706653,-0.357709182367651,"7",128550623,"F","I","KCP","Body","island","Body-island","chr7:128550409-128550903",TRUE,NA,"","","","DOWN"
"cg25231225",-0.375844830352813,0.465810264768182,-17.3163443503628,1.7818392423568e-51,3.08827490262421e-51,105.364362219181,NA,0.251166946734523,NA,"22",35937531,"F","I","RASD2","1stExon","island","1stExon-island","chr22:35935981-35937537",NA,TRUE,"","rs2272861","","DOWN"
"cg17861230",0.371921995485041,0.355081254302931,17.309774384187,1.79810766647539e-51,3.1158248176178e-51,105.353601335906,0.195933237630263,0.567855233115302,0.371921995485038,"19",18343901,"R","I","PDE4C","Body","island","Body-island","chr19:18343496-18344196",NA,NA,"","","","UP"
"cg23046903",-0.302364205193316,0.192167251014366,-17.3032378703258,1.92323258943111e-51,3.33195459396671e-51,105.286416703471,0.321551003934297,0.0191867987409804,-0.302364205193316,"11",65640447,"F","I","EFEMP2","TSS200","island","TSS200-island","chr11:65639835-65641374",NA,NA,"","","","DOWN"
"cg12347792",-0.436166630848748,0.430915562114276,-17.5464066817663,2.25857185847026e-51,3.91129960730941e-51,105.205659066601,NA,NA,NA,"4",186393468,"F","I","CCDC110","TSS1500","shore","TSS1500-shore","chr4:186392574-186393184",NA,NA,"","rs28429774","","DOWN"
"cg05817664",-0.338394642727407,0.281396577530977,-17.2947421229771,2.09895011071797e-51,3.63562704228445e-51,105.199101399913,0.426198006046891,0.0878033633194835,-0.338394642727407,"1",212731921,"F","I","","IGR","island","IGR-island","chr1:212731668-212732457",NA,TRUE,"","","","DOWN"
"cg00593900",0.284051681929901,0.149148664023562,17.279346967562,2.4592326775498e-51,4.25791290948208e-51,105.040897545011,0.0276009675698378,0.311652649499737,0.2840516819299,"19",10206746,"R","I","ANGPTL6","Body","island","Body-island","chr19:10206624-10207351",NA,TRUE,"","","","NO"
"cg07850527",0.329030876054291,0.224219022520555,17.2676516087172,2.77367885486754e-51,4.80134959667705e-51,104.920731159492,0.0834244150926736,0.412455291146963,0.329030876054289,"16",89268040,"F","I","","IGR","island","IGR-island","chr16:89267823-89268087",NA,NA,"","","","UP"
"cg22371492",-0.381450319836574,0.414062939188949,-17.2590787836775,3.02940075682007e-51,5.24292809663867e-51,104.832657575723,0.577288192328321,0.195837872491746,-0.381450319836575,"1",170637796,"F","I","PRRX1","Body","shelf","Body-shelf","chr1:170633274-170634178",NA,NA,"","","","DOWN"
"cg12317414",-0.35427088510097,0.291908720422567,-17.2603872219384,3.16736453524667e-51,5.48056406948026e-51,104.789861867559,NA,0.0895861869732949,NA,"10",75407991,"R","I","SYNPO2L","Body","shore","Body-shore","chr10:75407413-75407706",NA,TRUE,"","","","DOWN"
"cg21395191",-0.326549600292375,0.223721659227665,-17.2503775624203,3.31304537748574e-51,5.73145187068044e-51,104.743273306508,0.363454511445798,0.0369049111534221,-0.326549600292375,"22",50608218,"R","I","PANX2","TSS1500","island","TSS1500-island","chr22:50608207-50608660",TRUE,NA,"","","","DOWN"
"cg17332338",-0.325840633176819,0.359650736796392,-17.2482655004891,3.38580533755633e-51,5.85611134367402e-51,104.721578193594,0.499080217039497,0.173239583862677,-0.32584063317682,"2",38763354,"R","I","","IGR","island","IGR-island","chr2:38763114-38763564",TRUE,NA,"","","rs59548580","DOWN"
"cg03101021",-0.321849562414712,0.28425456830742,-17.2353137879513,3.86823458381531e-51,6.68913924926373e-51,104.58854908579,0.421976241526739,0.100126679112027,-0.321849562414713,"7",126891319,"R","I","GRM8","5'UTR","island","5'UTR-island","chr7:126891300-126894205",NA,NA,"","","","DOWN"
"cg11586124",-0.350329528812308,0.234645646568328,-17.2225594835016,4.41036061658144e-51,7.62503157924697e-51,104.457566067362,0.384554096106618,0.0342245672943101,-0.350329528812308,"12",58259160,"F","I","","IGR","island","IGR-island","chr12:58258986-58259496",NA,NA,"","","","DOWN"
"cg26104143",-0.33333753964782,0.289055222841383,-17.2239263920307,4.60685830587785e-51,7.96310661851925e-51,104.416363734556,0.431248159334508,NA,NA,"4",41869579,"R","I","","IGR","shore","IGR-shore","chr4:41867385-41867586",NA,NA,"","","","DOWN"
"cg26411280",-0.312827174558467,0.201063000539056,-17.2165355484154,4.69217906134545e-51,8.10890853919733e-51,104.395708394899,0.334923931047795,0.022096756489328,-0.312827174558467,"17",75884231,"F","I","","IGR","island","IGR-island","chr17:75883803-75884328",TRUE,TRUE,"","","","DOWN"
"cg13791254",0.371117174541971,0.355271669137469,17.2157248572284,4.73145448318099e-51,8.17509219286329e-51,104.387384006123,0.196468040961371,0.567585215503339,0.371117174541968,"9",100616607,"R","I","FOXE1","1stExon","island","1stExon-island","chr9:100615234-100617510",NA,NA,"","","","UP"
"cg16803522",-0.275798577367235,0.17944412521582,-17.2144650760607,4.79313957895799e-51,8.2799603065788e-51,104.374448392183,0.297460260647381,0.0216616832801462,-0.275798577367235,"15",38857280,"F","I","RASGRP1","TSS1500","island","TSS1500-island","chr15:38856262-38857658",TRUE,NA,"","","","NO"
"cg19000879",-0.35240082422669,0.224266719566906,-17.1981689493668,5.66737223730956e-51,9.78813886096424e-51,104.207133691811,0.375061490863908,0.0226606666372186,-0.35240082422669,"17",1552435,"F","I","RILP","Body","island","Body-island","chr17:1551730-1553249",NA,NA,"high-CpG:1498953-1499390","","","DOWN"
"cg05601456",-0.341544667647744,0.231533701691082,-17.2082395053944,5.73378047015248e-51,9.90078587177631e-51,104.198861694364,NA,0.0368213210694714,NA,"4",114900431,"R","I","ARSJ","1stExon","island","1stExon-island","chr4:114900355-114900810",TRUE,NA,"","","","DOWN"
"cg10913456",-0.270032913392996,0.184034132990562,-17.1902855585535,6.14576918714514e-51,1.06099929302357e-50,104.126204643753,0.299583100581983,0.0295501871889871,-0.270032913392996,"6",35656590,"F","I","FKBP5","1stExon","island","1stExon-island","chr6:35655607-35656856",NA,NA,"high-CpG:35764243-35764755","","","NO"
"cg06890432",-0.298489646971582,0.200288226417554,-17.1889904411343,6.22813281350471e-51,1.07499631247972e-50,104.112909950828,0.328014028842603,0.0295243818710209,-0.298489646971582,"16",12997467,"R","I","SHISA9","Body","island","Body-island","chr16:12994574-12997690",NA,NA,"","","","NO"
"cg26709356",-0.325834583457903,0.238529436043471,-17.1929794063423,6.33077443902158e-51,1.09248687592618e-50,104.098261794412,NA,0.0524467485208923,NA,"19",55951933,"R","I","SHISA7","Body","island","Body-island","chr19:55951800-55952103",NA,NA,"","","","DOWN"
"cg12167823",-0.406646195226228,0.402593017184399,-17.2098034119245,6.71658825141159e-51,1.15882648187304e-50,104.047236229591,NA,NA,NA,"4",185571549,"R","I","CASP3","TSS1500","shore","TSS1500-shore","chr4:185569961-185570638",NA,NA,"","","","DOWN"
"cg01100912",-0.28690675057608,0.205702267582862,-17.172493225622,7.37899303094171e-51,1.27284963412115e-50,103.94357888821,0.32847166782937,0.0415649172532904,-0.28690675057608,"5",107005390,"F","I","EFNA5","Body","island","Body-island","chr5:107005130-107008191",NA,NA,"","","","NO"
"cg09233392",0.379001086602608,0.355988443004644,17.1935268476608,7.48580614688168e-51,1.29074147680185e-50,103.938621645783,0.19584713880636,NA,NA,"10",50887488,"F","I","C10orf53","TSS200","shore","TSS200-shore","chr10:50887565-50887862",TRUE,TRUE,"","rs2289305","rs56394806","UP"
